2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:21 INFO     Model Created...
 Beginning Training...
2025-02-26 22:15:22 INFO     [1, 1, 11.680031776428223]
2025-02-26 22:15:22 INFO     [1, 1, 775.5702514648438]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 1 with loss 50.2781
2025-02-26 22:15:22 INFO     [2, 1, 49.319644927978516]
2025-02-26 22:15:22 INFO     [2, 1, 14.32341480255127]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 2 with loss 4.2178
2025-02-26 22:15:22 INFO     [3, 1, 17.266286849975586]
2025-02-26 22:15:22 INFO     [3, 1, 34.559844970703125]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     [4, 1, 13.27428913116455]
2025-02-26 22:15:22 INFO     [4, 1, 33.805179595947266]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 4 with loss 3.4937
2025-02-26 22:15:22 INFO     [5, 1, 12.526166915893555]
2025-02-26 22:15:22 INFO     [5, 1, 19.934804916381836]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 5 with loss 2.5113
2025-02-26 22:15:22 INFO     [6, 1, 5.660411834716797]
2025-02-26 22:15:22 INFO     [6, 1, 11.903633117675781]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 6 with loss 2.0302
2025-02-26 22:15:22 INFO     [7, 1, 5.920610427856445]
2025-02-26 22:15:22 INFO     [7, 1, 5.95589542388916]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 7 with loss 1.6670
2025-02-26 22:15:22 INFO     [8, 1, 5.947802543640137]
2025-02-26 22:15:22 INFO     [8, 1, 3.4990100860595703]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:22 INFO     Best model saved at epoch 8 with loss 0.8774
2025-02-26 22:15:22 INFO     [9, 1, 5.496499061584473]
2025-02-26 22:15:22 INFO     [9, 1, 6.491474151611328]
2025-02-26 22:15:22 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 9 with loss 0.5735
2025-02-26 22:15:23 INFO     [10, 1, 2.498105049133301]
2025-02-26 22:15:23 INFO     [10, 1, 5.3212103843688965]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     [11, 1, 1.9432592391967773]
2025-02-26 22:15:23 INFO     [11, 1, 1.267577052116394]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 11 with loss 0.3917
2025-02-26 22:15:23 INFO     [12, 1, 1.9876989126205444]
2025-02-26 22:15:23 INFO     [12, 1, 2.501405715942383]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 12 with loss 0.2104
2025-02-26 22:15:23 INFO     [13, 1, 1.0636109113693237]
2025-02-26 22:15:23 INFO     [13, 1, 1.7537657022476196]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     [14, 1, 0.760125458240509]
2025-02-26 22:15:23 INFO     [14, 1, 0.9630112648010254]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 14 with loss 0.1294
2025-02-26 22:15:23 INFO     [15, 1, 0.5114551782608032]
2025-02-26 22:15:23 INFO     [15, 1, 0.9249504804611206]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 15 with loss 0.1183
2025-02-26 22:15:23 INFO     [16, 1, 2.738126516342163]
2025-02-26 22:15:23 INFO     [16, 1, 0.6611012816429138]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 16 with loss 0.1128
2025-02-26 22:15:23 INFO     [17, 1, 0.35588395595550537]
2025-02-26 22:15:23 INFO     [17, 1, 0.7054016590118408]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 17 with loss 0.0843
2025-02-26 22:15:23 INFO     [18, 1, 0.8387689590454102]
2025-02-26 22:15:23 INFO     [18, 1, 0.4607314467430115]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 18 with loss 0.0734
2025-02-26 22:15:23 INFO     [19, 1, 12.376564025878906]
2025-02-26 22:15:23 INFO     [19, 1, 0.43406376242637634]
2025-02-26 22:15:23 INFO     Update learning rate: 0.01
2025-02-26 22:15:23 INFO     Best model saved at epoch 19 with loss 0.0678
2025-02-26 22:15:23 INFO     [20, 1, 1.2545342445373535]
2025-02-26 22:15:23 INFO     [20, 1, 0.5817997455596924]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [21, 1, 0.4304581582546234]
2025-02-26 22:15:24 INFO     [21, 1, 0.5847254991531372]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [22, 1, 17.56507682800293]
2025-02-26 22:15:24 INFO     [22, 1, 0.5583000183105469]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [23, 1, 0.5382816195487976]
2025-02-26 22:15:24 INFO     [23, 1, 1.158146858215332]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [24, 1, 4.377005100250244]
2025-02-26 22:15:24 INFO     [24, 1, 1.1856334209442139]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [25, 1, 0.6307103633880615]
2025-02-26 22:15:24 INFO     [25, 1, 1.0772433280944824]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [26, 1, 0.456000417470932]
2025-02-26 22:15:24 INFO     [26, 1, 0.7272567749023438]
2025-02-26 22:15:24 INFO     Update learning rate: 0.01
2025-02-26 22:15:24 INFO     [27, 1, 27.905029296875]
2025-02-26 22:15:24 INFO     [27, 1, 0.5195504426956177]
2025-02-26 22:15:24 INFO     Update learning rate: 0.0095
